experiment,binary_classification,multiclass_classification,named_entity_recognition,numeric_qa,open_text_normalization,yesno_qa,overall_accuracy
3_open_ai_test_4o-mini,0.6025641025641025,0.7435897435897436,0.8589743589743589,0.7692307692307693,0.9487179487179487,0.7364672364672364,0.7114020731042008
4_open_ai_test_4o,0.7115384615384616,0.8205128205128205,0.9038461538461539,0.8846153846153846,0.9615384615384616,0.782051282051282,0.7877795962902346
6_open_ai_test-o3-mini,0.6746794871794872,0.8589743589743589,0.6282051282051282,0.8589743589743589,0.9358974358974359,0.8176638176638177,0.7637752318603382
7_open_ai_test_ft_4o_mini,0.9903846153846154,0.46153846153846156,0.9615384615384616,0.8803418803418803,0.9615384615384616,0.9458689458689459,0.9345335515548282
finetune_lora_master_thesis_tucanobr_2b4_ft_v1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gemma3_12b_it_baseline_v2,0.8012820512820513,0.8333333333333334,0.6282051282051282,0.7350427350427351,0.9358974358974359,0.7464387464387464,0.762684124386252
gemma3_1b_it_baseline,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gemma3_27b_it_baseline_v2,0.8205128205128205,0.8717948717948718,0.8076923076923077,0.8205128205128205,0.9487179487179487,0.8062678062678063,0.8199672667757774
llama_3.1_8b_baseline,0.7564102564102564,0.7564102564102564,0.6923076923076923,0.7307692307692307,0.9230769230769231,0.7122507122507122,0.7354064375340971
llama_3.2_3B_ft_unsloth_2025-04-13_17-52-07,0.8076923076923077,0.7884615384615384,0.8076923076923077,0.7414529914529915,0.8525641025641025,0.7635327635327636,0.7839607201309329
llama_3.2_3b_baseline,0.6378205128205128,0.5128205128205128,0.32051282051282054,0.45726495726495725,0.6410256410256411,0.5341880341880342,0.5422804146208402
open_ai_test_gpt-4.1-2025-04-14,0.6233974358974359,0.7948717948717948,0.9102564102564102,0.8760683760683761,0.9615384615384616,0.7777777777777778,0.7545008183306056
open_ai_test_gpt-4.1-nano,0.5961538461538461,0.7307692307692307,0.7115384615384616,0.8034188034188035,0.9615384615384616,0.6282051282051282,0.6590289143480633
open_ai_test_gpt4.1mini,0.5464743589743589,0.8076923076923077,0.8397435897435898,0.8290598290598291,0.9102564102564102,0.7279202279202279,0.6966721222040371
phi4_14b_baseline_unsloth,0.7307692307692307,0.8076923076923077,0.7692307692307693,0.7649572649572649,0.8717948717948718,0.7336182336182336,0.7474086197490453
phi4_14b_finetune_unsloth,0.9615384615384616,0.8974358974358975,0.9230769230769231,0.8504273504273504,0.9487179487179487,0.9245014245014245,0.9279869067103109
unsloth_ft_lora_master_thesis_lawma8b_ft_v1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
