step,train_loss,valid_loss,total_steps,full_valid_loss,train_mean_token_accuracy,valid_mean_token_accuracy,full_valid_mean_token_accuracy
549,0.00011675182759063318,0.07440349587468477,549,0.03356871754658946,1.0,0.9796839729119639,0.6526168876482903
548,0.0230531245470047,,549,,0.9911308288574219,,
547,0.012896987609565258,,549,,0.9955257177352905,,
546,0.03948462754487991,,549,,0.98893803358078,,
545,0.008185165002942085,,549,,0.9977678656578064,,
544,4.381758481031284e-05,,549,,1.0,,
543,0.00035716232378035784,,549,,1.0,,
542,0.00033821191755123436,,549,,1.0,,
541,0.01815560646355152,,549,,0.9933333396911621,,
540,0.010210515931248665,0.03603696716445138,549,,0.9977375268936157,0.9932885906040269,
539,0.008423729799687862,,549,,0.9956140518188477,,
538,0.03358149901032448,,549,,0.9932735562324524,,
537,0.003624256467446685,,549,,0.9977973699569702,,
536,0.01123488787561655,,549,,0.9955357313156128,,
535,0.006236504763364792,,549,,0.9978308081626892,,
534,0.012272803112864494,,549,,0.9955257177352905,,
533,0.02241804637014866,,549,,0.9955257177352905,,
532,0.001256874529644847,,549,,1.0,,
531,0.004076289478689432,,549,,0.9978308081626892,,
530,0.028024546802043915,0.0917141327972746,549,,0.9888641238212585,0.9824945295404814,
529,8.220290328608826e-05,,549,,1.0,,
528,0.00015859944687690586,,549,,1.0,,
527,0.06333191692829132,,549,,0.9864559769630432,,
526,0.00019776394765358418,,549,,1.0,,
525,0.03834812343120575,,549,,0.9888641238212585,,
524,0.00012393968063406646,,549,,1.0,,
523,0.023575933650135994,,549,,0.9933481216430664,,
522,0.00012776242510881275,,549,,1.0,,
521,0.04053686186671257,,549,,0.9864253401756287,,
520,5.315368980518542e-05,0.012041277475486514,549,,1.0,0.997737556561086,
519,7.379480666713789e-05,,549,,1.0,,
518,0.0003332194173708558,,549,,1.0,,
517,3.3276421163463965e-05,,549,,1.0,,
516,0.0005963934236206114,,549,,1.0,,
515,6.54586692689918e-05,,549,,1.0,,
514,0.01560148410499096,,549,,0.9933775067329407,,
513,0.0112179359421134,,549,,0.9978213310241699,,
512,0.020036576315760612,,549,,0.9933920502662659,,
511,8.427829743595794e-05,,549,,1.0,,
510,0.004086450207978487,0.024820259333726002,549,,1.0,0.9977578475336323,
509,0.015324455685913563,,549,,0.9955157041549683,,
508,0.0001598647068021819,,549,,1.0,,
507,0.0035148602910339832,,549,,0.9977426528930664,,
506,7.823573832865804e-05,,549,,1.0,,
505,0.046256110072135925,,549,,0.9911699891090393,,
504,0.009211075492203236,,549,,0.9977527856826782,,
503,0.006150420289486647,,549,,0.9977678656578064,,
502,0.04725378751754761,,549,,0.9868708848953247,,
501,0.00010476732131792232,,549,,1.0,,
500,0.04677852243185043,0.04879608587785201,549,,0.9865771532058716,0.990909090909091,
499,4.0487226215191185e-05,,549,,1.0,,
498,0.00010539693903410807,,549,,1.0,,
497,0.00010202821431448683,,549,,1.0,,
496,0.03988441452383995,,549,,0.9887892603874207,,
495,0.022224338725209236,,549,,0.9933920502662659,,
494,0.0006189621053636074,,549,,1.0,,
493,0.04507707059383392,,549,,0.9865471124649048,,
492,0.025967631489038467,,549,,0.9910714030265808,,
491,0.04293937236070633,,549,,0.9886363744735718,,
490,0.14492401480674744,0.0002494582108088902,549,,0.9644444584846497,1.0,
489,0.015340616926550865,,549,,0.9955157041549683,,
488,5.1565781177487224e-05,,549,,1.0,,
487,0.04487931355834007,,549,,0.9866071343421936,,
486,0.0005099677364341915,,549,,1.0,,
485,0.0006064554327167571,,549,,1.0,,
484,0.0025203973054885864,,549,,0.9977375268936157,,
483,0.030269106850028038,,549,,0.9886363744735718,,
482,0.002427875529974699,,549,,0.9977628588676453,,
481,0.06609457731246948,,549,,0.9821029305458069,,
480,0.028731819242239,0.017570423066482713,549,,0.9887387156486511,0.9977628635346756,
479,0.016665587201714516,,549,,0.9954954981803894,,
478,0.010387093760073185,,549,,0.997802197933197,,
477,0.032020483165979385,,549,,0.9887640476226807,,
476,0.00016266648890450597,,549,,1.0,,
475,0.06598365306854248,,549,,0.9820224642753601,,
474,5.32304220541846e-05,,549,,1.0,,
473,0.001601877505891025,,549,,0.997787594795227,,
472,0.00011024561536032706,,549,,1.0,,
471,0.0008638330618850887,,549,,1.0,,
470,0.009834679774940014,0.023255624941417148,549,,0.9977777600288391,0.9933035714285714,
469,0.0013076449977234006,,549,,1.0,,
468,0.00012823451834265143,,549,,1.0,,
467,0.006204930134117603,,549,,0.997787594795227,,
466,0.008696679025888443,,549,,0.9977777600288391,,
465,0.0009620952769182622,,549,,1.0,,
464,0.00021930599177721888,,549,,1.0,,
463,0.0011034266790375113,,549,,1.0,,
462,0.012157043442130089,,549,,0.9955752491950989,,
461,0.0023394261952489614,,549,,0.9977973699569702,,
460,0.0008338257321156561,0.026974432687098013,549,,1.0,0.9910514541387024,
459,0.016496235504746437,,549,,0.9954751133918762,,
458,0.02997850999236107,,549,,0.9911699891090393,,
457,0.03950924053788185,,549,,0.9867549538612366,,
456,0.012067633680999279,,549,,0.9977777600288391,,
455,8.108143083518371e-05,,549,,1.0,,
454,0.0011954318033531308,,549,,1.0,,
